LOGNAME,1823514,0007/0001.csv
ACC,2487142,78080,-215696,984784
MSG,2487184,Gyroscope not ready
GYRS,2487189,100000000
ACC,2490676,76128,-214720,976000
MSG,2490717,Gyroscope not ready
GYRS,2490722,100000000
ACC,2494209,71736,-217648,976000
MSG,2494251,Gyroscope not ready
GYRS,2494255,100000000
ACC,2497790,73200,-216672,981368
MSG,2497832,Gyroscope not ready
GYRS,2497850,100000000
ACC,2501329,72224,-214720,986248
MSG,2501371,Gyroscope not ready
GYRS,2501375,100000000
ACC,2504866,71248,-216672,982344
MSG,2504908,Gyroscope not ready
GYRS,2504912,100000000
ACC,2508398,81984,-218624,979904
MSG,2508440,Gyroscope not ready
GYRS,2508444,100000000
ACC,2511979,83936,-218624,986736
MSG,2512021,Gyroscope not ready
GYRS,2512025,100000000
ACC,2515517,74176,-220576,983320
MSG,2515558,Gyroscope not ready
GYRS,2515563,100000000
ACC,2519052,82960,-217648,977952
MSG,2519107,Gyroscope not ready
GYRS,2519112,100000000
ACC,2522586,73200,-221552,978928
MSG,2522628,Gyroscope not ready
GYRS,2522632,100000000
ACC,2526120,79056,-221552,987712
MSG,2526162,Gyroscope not ready
GYRS,2526167,100000000
ACC,2529698,80032,-217648,980880
MSG,2529740,Gyroscope not ready
GYRS,2529745,100000000
ACC,2533236,77104,-222528,976000
MSG,2533278,Gyroscope not ready
GYRS,2533282,100000000
ACC,2536774,77104,-222528,982344
MSG,2536816,Gyroscope not ready
GYRS,2536821,100000000
ACC,2540314,79056,-219600,981368
MSG,2540355,Gyroscope not ready
GYRS,2540360,100000000
ACC,2543889,73200,-223504,978928
MSG,2543931,Gyroscope not ready
GYRS,2543936,100000000
ACC,2547427,74176,-230336,976000
MSG,2547469,Gyroscope not ready
GYRS,2547473,100000000
ACC,2550964,80032,-224480,980392
MSG,2551007,Gyroscope not ready
GYRS,2551012,100000000
ACC,2554502,79056,-224480,981856
MSG,2554544,Gyroscope not ready
GYRS,2554549,100000000
ACC,2558037,79056,-225456,978440
MSG,2558078,Gyroscope not ready
GYRS,2558097,100000000
ACC,2561614,78080,-221552,982344
MSG,2561656,Gyroscope not ready
GYRS,2561660,100000000
ACC,2565152,77104,-223504,981856
MSG,2565194,Gyroscope not ready
GYRS,2565198,100000000
ACC,2568689,80032,-225456,980392
MSG,2568731,Gyroscope not ready
GYRS,2568736,100000000
ACC,2572227,74176,-220576,986248
MSG,2572269,Gyroscope not ready
GYRS,2572274,100000000
ACC,2575808,76128,-221552,982344
MSG,2575849,Gyroscope not ready
GYRS,2575854,100000000
ACC,2579342,73200,-217648,976976
MSG,2579398,Gyroscope not ready
GYRS,2579402,100000000
ACC,2582879,78080,-217648,986736
MSG,2582921,Gyroscope not ready
GYRS,2582926,100000000
ACC,2586417,77592,-216184,977952
MSG,2586458,Gyroscope not ready
GYRS,2586463,100000000
ACC,2589954,76128,-218624,981368
MSG,2589996,Gyroscope not ready
GYRS,2590001,100000000
ACC,2593535,75640,-219600,982344
MSG,2593576,Gyroscope not ready
GYRS,2593581,100000000
ACC,2597072,77104,-218624,976976
MSG,2597114,Gyroscope not ready
GYRS,2597132,100000000
ACC,2600612,73688,-220576,973072
MSG,2600653,Gyroscope not ready
GYRS,2600658,100000000
ACC,2604146,82960,-218624,982344
MSG,2604188,Gyroscope not ready
GYRS,2604192,100000000
ACC,2607727,74664,-217648,975024
MSG,2607768,Gyroscope not ready
GYRS,2607773,100000000
ACC,2611261,76128,-215696,982344
MSG,2611303,Gyroscope not ready
GYRS,2611307,100000000
ACC,2614793,71736,-221552,983320
MSG,2614835,Gyroscope not ready
GYRS,2614840,100000000
ACC,2618331,78080,-217648,983320
MSG,2618386,Gyroscope not ready
GYRS,2618391,100000000
ACC,2621868,74176,-218624,983320
MSG,2621910,Gyroscope not ready
GYRS,2621915,100000000
ACC,2625449,73688,-218624,980880
MSG,2625490,Gyroscope not ready
GYRS,2625495,100000000
ACC,2628986,72712,-225456,987224
MSG,2629028,Gyroscope not ready
GYRS,2629033,100000000
ACC,2632524,74176,-212280,977952
MSG,2632566,Gyroscope not ready
GYRS,2632571,100000000
ACC,2636062,76128,-220576,982832
MSG,2636103,Gyroscope not ready
GYRS,2636108,100000000
ACC,2639642,73688,-218624,980880
MSG,2639683,Gyroscope not ready
GYRS,2639688,100000000
ACC,2643180,75152,-228384,980880
MSG,2643221,Gyroscope not ready
GYRS,2643226,100000000
ACC,2646717,76128,-226432,985760
MSG,2646759,Gyroscope not ready
GYRS,2646764,100000000
ACC,2650250,76128,-221552,981368
MSG,2650292,Gyroscope not ready
GYRS,2650296,100000000
ACC,2653787,75152,-216672,990640
MSG,2653830,Gyroscope not ready
GYRS,2653835,100000000
ACC,2657363,78080,-219112,978928
MSG,2657405,Gyroscope not ready
GYRS,2657423,100000000
ACC,2660898,73200,-219600,978928
MSG,2660939,Gyroscope not ready
GYRS,2660944,100000000
ACC,2664435,73200,-230336,977952
MSG,2664477,Gyroscope not ready
GYRS,2664482,100000000
ACC,2667973,75152,-218624,977952
MSG,2668014,Gyroscope not ready
GYRS,2668019,100000000
ACC,2671554,79056,-220576,989664
MSG,2671595,Gyroscope not ready
GYRS,2671600,100000000
ACC,2675091,74176,-224480,976976
MSG,2675133,Gyroscope not ready
GYRS,2675138,100000000
ACC,2678628,74176,-224480,979416
MSG,2678684,Gyroscope not ready
